original_text,true_label,predicted_label_svm
bangga mantu presiden sekolah s beasiswa mbak nama catat sejarah keluarga nepotisme haus kuasa alias kerja dandan bikin acara istana beli tas milyar wkwk simpati rakyat juang negara,ujaran kebencian,ujaran kebencian
ganjar,bukan ujaran kebencian,bukan ujaran kebencian
maaf produk turun berat badan singkat bb sara,bukan ujaran kebencian,bukan ujaran kebencian
lihat debat calon wakil presiden kakak,bukan ujaran kebencian,bukan ujaran kebencian
harap ku moga hamil kakak sehat selamat lahir anak sholeh sholehah sehat selamat adik bayi nya hamil nya tular juang garis,bukan ujaran kebencian,bukan ujaran kebencian
kakak kaesang geram lihat ungsi aceh syukur dibkasih makan negara kurang,bukan ujaran kebencian,bukan ujaran kebencian
sok many memories destroy a country yeah,bukan ujaran kebencian,bukan ujaran kebencian
heran suka ikut nimbrung suka buka profil males dikomenin trs gulir trs,bukan ujaran kebencian,bukan ujaran kebencian
curang anjing,ujaran kebencian,bukan ujaran kebencian
kali dtambah halaman kakak biar selesai baca lanjut,bukan ujaran kebencian,bukan ujaran kebencian
istighfar teh keluarga dzalimi rakyat indonesia uang dah otot batget pimpin heran deh,ujaran kebencian,ujaran kebencian
lihat bahagia ga pikir orang terdzalimi akibat buat keluraga sakit lo,ujaran kebencian,bukan ujaran kebencian
tunggu deklarasi psi rapat prabowo tanda keluarga jokowi keluarga demokratis,bukan ujaran kebencian,bukan ujaran kebencian
hati hati alam bal,bukan ujaran kebencian,bukan ujaran kebencian
sih sik trus istri singkat iya nama nya,bukan ujaran kebencian,bukan ujaran kebencian
x kakak,bukan ujaran kebencian,bukan ujaran kebencian
jokowime,bukan ujaran kebencian,bukan ujaran kebencian
pamer ros,bukan ujaran kebencian,bukan ujaran kebencian
beasiswa butuh jenis beasiswa hujat wrga beli roti rb pakai jet pribadi pakai dana pribadi saran ajar kakak kakak kaesang butir sila amal nya,ujaran kebencian,bukan ujaran kebencian
psi okke gaa,bukan ujaran kebencian,bukan ujaran kebencian
kakak sayang masuk,bukan ujaran kebencian,bukan ujaran kebencian
syukur nikmat allah keluarga harap moga hamil allah rida hamil lahir susu moga harap wujud pas nikah amin ya allah,bukan ujaran kebencian,bukan ujaran kebencian
bilang ibu nomer kakak wejang bojo nomer,bukan ujaran kebencian,bukan ujaran kebencian
doa moga sajadah ibadah sajadah ibadah manfaat beri alat ibadah pahala jariyah keluarga erina kaesang moga sehat iya janin,bukan ujaran kebencian,bukan ujaran kebencian
anak jabat pamer harta pamer bojo mas ha ra main bla,bukan ujaran kebencian,bukan ujaran kebencian
bismillahirohmanirohim selamat hamil anak kakak kakak moga sehat lancar proses salin amin allahuma aamiin izin cerita kakak kakak suami meni juni kemarin doa nya haid selebriti instagram kakak pergi umrah langsung titip doa beliau milik turun pulang umrah kakak dev hamil telat haid hari tespek hasil garis haid situ hati hancur hancur hancur husnuzan allah subhanahu whatsapp taala apa kasih allah baik suami ibu upaya laku pergi dokter kandung pergi orang tua urut perut minum ramu minum air zam zam makan kurma muda cek dokter spog kandung allah kasih kesemptan buka instagram cari orang ibadah tanah suci makkah janani ibadah baik umrah haji titip doa doa moga segera milik turun cucu sayang harap orang bismillahirohmanirohim mudah mudah rezeki suami pergi tanah suci ibadah suami ibadah khusyuk langit doa doa tanah suci rezeki kakak kakak,bukan ujaran kebencian,bukan ujaran kebencian
tolong bantu bang butuh kerja menghidupin anak tiri ku sambung kakak,bukan ujaran kebencian,bukan ujaran kebencian
selamat selamat proses,bukan ujaran kebencian,bukan ujaran kebencian
allahumma bariik impi nikah keluarga sammawaa sempurna moga allah keluarga keluarga kakak kakak bahagia anak saleh sholeha bangga orang tua amin allahumma amin,bukan ujaran kebencian,bukan ujaran kebencian
cantik kakak,bukan ujaran kebencian,bukan ujaran kebencian
makan pisang goreng enak,bukan ujaran kebencian,bukan ujaran kebencian
si orang cak imin ganjar habis posting ya acara sabtu kemarin,bukan ujaran kebencian,bukan ujaran kebencian
harap moga trlepas hutang piutang biar anak anak susah trkadang dahulu hutang bndingkan butuh rumah,bukan ujaran kebencian,bukan ujaran kebencian
oh partai nya jokowi,bukan ujaran kebencian,bukan ujaran kebencian
a alamualaikum mb sehat ya kakak salin harap moga rasa bahagia kakak rasa keluarga sehat lancar rezeki bismillah moga hajat doa kabul allah swt amin ya rabi alamin sukses produk baik nya,bukan ujaran kebencian,bukan ujaran kebencian
minum bandrek minum jus ya kakak,bukan ujaran kebencian,bukan ujaran kebencian
kakak enak lagu ganti bnyak musisi msian,bukan ujaran kebencian,bukan ujaran kebencian
uang cant buy cla pakai berlian miliar aura mbok pasar klewer hilang berloan pakai uang halal haram,ujaran kebencian,ujaran kebencian
semangat kakak erina ms kaesang bapak luatbiasa hebat waris petuah anak cucu mantu nyinyir tanda iri dengki kmu santui sj happy sj biarkn anjing gonggong ratus juta rakyat dukung urus,bukan ujaran kebencian,bukan ujaran kebencian
doa buruk caci bayi nya doa sehat sehat kakak erina lahir ya gpp kakak ambil wudhu salat doa apa hujat percaya doa hamil mustajab allah janji,bukan ujaran kebencian,bukan ujaran kebencian
kadang guyon lucu,bukan ujaran kebencian,bukan ujaran kebencian
seru baca wkwk,bukan ujaran kebencian,bukan ujaran kebencian
emang zaman proyek perintah orang tua dasar ndeso orang kampung,ujaran kebencian,ujaran kebencian
